Location ID,Name,Latitude,Longitude,State,Abbreviation
64,Mustang Bayou C619,29.308562,-95.19991,Texas,TX
161,Clinton C403/C304/AH113,29.7337263,-95.2575931,Texas,TX
162,Houston Deer Park C3,29.670025,-95.128508,Texas,TX
163,Danciger C618,29.144291,-95.756601,Texas,TX
164,Houston North Loop C,29.81453,-95.38769,Texas,TX
165,UH WG Jones Forest C698,30.2362,-95.4832,Texas,TX
166,UH Moody Tower C695,29.7176,-95.3414,Texas,TX
167,UH Coastal Center C697,29.3879,-95.0414,Texas,TX
168,Houston East C1/G316,29.7679965,-95.2205822,Texas,TX
169,Houston Texas Avenue C411,29.752778,-95.350278,Texas,TX
170,Lake Jackson C1016,29.0437592,-95.4729462,Texas,TX
171,U of H,29.5741,-95.6497,Texas,TX
172,HRM,29.7647877,-95.1785379,Texas,TX
173,Houston Westhollow C,29.7233,-95.6358,Texas,TX
174,Wallisville Road C617,29.821389,-94.99,Texas,TX
175,Texas City Ball Park A147/C1022,29.3852338,-94.9315197,Texas,TX
176,Freeport South Avenue I C1012,28.96443,-95.35483,Texas,TX
177,Sheldon C551,29.8586111,-95.1602778,Texas,TX
178,Conroe Relocated C78/A321,30.3503017,-95.4251278,Texas,TX
179,Texas City 34th St. C620,29.4057,-94.94712,Texas,TX
180,Channelview C15/AH115,29.8027073,-95.1254948,Texas,TX
181,Houston Southwest Freeway C1066,29.7216,-95.49265,Texas,TX
183,Lynchburg Ferry C1015/A165,29.7616528,-95.0813861,Texas,TX
184,Crosby Library C553,29.9208333,-95.0683333,Texas,TX
186,Houston Aldine C8,29.9011,-95.3261,Texas,TX
187,Houston Bayland Park,29.6958,-95.4992,Texas,TX
188,Houston Croquet C409,29.6239,-95.4742,Texas,TX
189,Atascocita C560,29.961944,-95.235,Texas,TX
190,Huffman Wolf Road C563,30.05786,-95.06147,Texas,TX
191,Seabrook Friendship,29.5831,-95.0156,Texas,TX
192,Lang C408,29.8342,-95.4892,Texas,TX
193,Houston Monroe C406,29.6256,-95.2672,Texas,TX
194,Houston North Wayside C405,29.8280859,-95.2840958,Texas,TX
195,Houston Park Place C,29.68639,-95.294724,Texas,TX
196,West Houston C554,29.8330556,-95.6569444,Texas,TX
197,Baytown Wetlands Center C552,29.7330556,-94.9847222,Texas,TX
198,Bunker Hill Village C562,29.778333,-95.538056,Texas,TX
199,Baytown Garth C1017,29.823319,-94.983786,Texas,TX
200,Meyer Park C561,30.011667,-95.5225,Texas,TX
202,Galveston 99th St. C1034/A320/X183,29.2544736,-94.8612886,Texas,TX
203,Katy Park C559,29.8105556,-95.8061111,Texas,TX
204,Manvel Croix Park C84,29.5204432,-95.3925089,Texas,TX
205,Northwest Harris Co. C26/A110/X154,30.039524,-95.6739508,Texas,TX
206,Tom Bass C558,29.5894444,-95.3536111,Texas,TX
207,MMFRA1001,39.482481,-121.221235,California,CA
209,Tooele,40.539299,-112.299797,Utah,UT
211,Felton Cal-Fire,37.0481,-122.074603,California,CA
