States,Not_graduated,HDI,Health_Index,Education_Index,Income_Index,Homeless_Ratio,Unsheltered_Homeless,Avg_PM25
Alabama,15.1056247329457,4.208729776768186,3.881706866666666,4.65777300573348,4.08670945790441,8.200000000000001,25.86901763224181,9.050223081854638
Alaska,7.510967666315111,5.146815570933821,5.132049533333335,4.57974227590121,5.72865490356692,26.5,16.20654396728016,5.600591274804139
Arizona,13.246442090519295,5.015567137393817,5.719299412500002,4.81638947103227,4.51101252864918,14.7,29.880759902991105,22.251777378859256
Arkansas,14.178452731623508,4.167504829123492,4.140094066666666,4.45757994322865,3.90484047747516,8.6,34.453125,10.692025846969715
California,17.57748114791849,5.559036209235834,6.470602937500001,5.24021507078944,4.96629061941806,29.8,63.67744388187112,14.800257033803419
Colorado,8.596271958000699,5.738258263871155,5.9632294041666665,5.7416254346532,5.5099199527936,18.6,28.323118657691147,9.16847454729231
Connecticut,9.334668816178706,6.313129048623748,6.265538970833333,6.24990055567335,6.42394761936456,11.3,15.468248085001235,5.53300957853234
Delaware,10.291736028985298,5.478490656707771,5.252670108333332,5.58122647464166,5.60157538714832,10.2,3.882476390346275,10.139517398934952
District of Columbia,10.0521746389515,6.915667761474526,5.194521725,7.57031520072811,7.98216635869547,110.8,7.454097012880241,7.358831359187114
Florida,12.571004788179197,5.042261922111003,5.816787462500001,5.06662223394097,4.24337606989204,18.0,47.40111420612813,6.657282610791942
Georgia,13.5389693709799,4.881957853072731,4.865439395833331,5.17752584610153,4.60290831728333,13.7,42.08121827411168,9.407811748718935
Hawaii,7.739228623300804,5.832247151973301,6.890026370833335,5.00383468856906,5.60288039651751,53.7,50.433070866141726,3.039022388152816
Idaho,9.480595509196505,4.692008140573691,5.548178829166664,4.92728862822734,3.60055696432707,12.0,23.85554425228891,15.739773240305572
Illinois,11.303565304647904,5.5262515464305295,5.577729191666668,5.65683341147114,5.34419203615378,10.2,20.596493890870452,10.7052116777332
Indiana,11.7880936467036,4.670224751405317,4.648932800000001,4.80875416301701,4.55298729119894,8.9,9.943714821763605,10.372051115265858
Iowa,8.411473093243103,5.224389275814272,5.605232329166666,5.2553544979263,4.81258100034985,9.9,6.588769879909121,11.64063143851568
Kansas,9.4771851217169,5.100098579002914,5.315368554166664,5.35528720340728,4.6296399794348,8.9,11.78516228748068,11.195857609736779
Kentucky,14.537595560356491,4.258061203461966,3.8778259666666655,4.515201240139,4.38115640358023,11.0,16.35081533715293,8.447117043461018
Louisiana,15.774296400367009,4.410197631118469,4.242148520833335,4.53671328462136,4.45173108790071,8.799999999999999,29.184023523646164,7.3564481952813505
Maine,7.502561911123493,5.077757314208724,5.284819570833333,5.48702576840429,4.46142660338855,17.8,2.4873524451939293,4.5463718612816155
Maryland,9.8271973043895,6.035977353436952,5.485665537499997,6.06422613009777,6.55804039271309,14.000000000000002,21.40643623361144,8.347100274832394
Massachusetts,9.501510436676597,6.3645125722701215,6.091177895833333,6.54897777079416,6.45338205018287,31.3,2.8057724154246517,6.636906582494661
Michigan,9.64145217754701,4.908032861939526,5.023948704166669,5.24122242400089,4.45892745765102,10.6,10.193990110308102,7.869935690456867
Minnesota,7.118230842288995,5.900725127308005,6.241012766666666,5.74949709838357,5.71166551687378,13.8,11.144977471508083,12.064569260959683
Mississippi,16.01421414126139,4.048382553291635,3.686273712500003,4.54615332300299,3.91272062437191,6.6000000000000005,42.46091780131114,8.502663652307351
Missouri,10.323126309703497,4.827923191957878,4.798921908333333,5.12468239129169,4.56016527624861,10.7,16.52267818574514,11.14959596882106
Montana,7.627619430851595,4.572693632844222,5.228930145833335,4.92310128272081,3.56604946997852,16.7,51.02399063779989,7.542633275115573
Nebraska,9.211445641545197,5.276175146934005,5.754975441666664,5.38880105917144,4.68474893996391,14.6,4.482507288629738,6.6693145755752195
Nevada,14.001746476038804,4.682747816767615,5.135487658333334,4.31432598898162,4.59842980298789,30.8,48.20999656868352,10.421494581264419
New Hampshire,6.952847078273308,5.734909524481073,5.594189516666669,5.99728200956603,5.61325704721052,10.9,9.134948096885813,8.18448800451595
New Jersey,10.8354600906073,6.24947317118687,6.096378762499999,6.13901520663301,6.5130255444276,11.3,9.645474351356704,13.575791792738492
New Mexico,14.364441797588997,4.465579480368414,4.9993098750000025,4.781575333955,3.61585323215024,12.6,17.268923545074173,6.4372392616498795
New York,13.703796934851098,5.9222857695312285,6.371408333333335,5.72229384322265,5.6731551320377,44.7,4.557507082152974,6.912547359792349
North Carolina,12.7997253241643,4.845086434499357,5.012549237499998,5.03558007957166,4.48712998642641,10.7,22.695367337388863,8.611523772818806
North Dakota,8.754677329440497,5.234556080089084,5.798463820833332,4.47538773616746,5.42981668326646,17.599999999999998,37.24137931034483,8.553409372283513
Ohio,9.9216158628344,4.775456137349466,4.6236364166666695,5.05615861580035,4.64657337958138,9.6,9.828295474870329,8.80950934481576
Oklahoma,12.063279822754296,4.453790780473146,4.163284054166668,4.68839872448918,4.50968956276359,9.7,20.59835848557056,9.199145370218638
Oregon,9.716590825202305,5.150125024118739,5.702113091666666,5.26849926026468,4.47976272042487,33.300000000000004,55.91259640102828,9.147031198550202
Pennsylvania,10.0787080955795,5.110305261533459,5.1335944374999976,5.30606608936477,4.89125525773561,12.1,9.26009986382206,11.133883019673442
Rhode Island,11.606738260456597,5.646283062628484,5.858944200000002,5.63658859700068,5.44331639088477,10.5,3.2403240324032403,5.826940441566731
South Carolina,13.409579211186696,4.565056388203367,4.584178199999999,4.82235151888528,4.28863944572482,11.1,35.412775494957046,6.947768188680134
South Dakota,8.576721767472492,5.090702432756959,5.411297991666668,5.18617015091574,4.67463915568847,12.1,13.127413127413126,6.546164241603246
Tennessee,13.094376303784898,4.413739804556628,4.2187676499999975,4.62220866182906,4.40024310184083,13.900000000000002,35.55847857064562,8.433295862137497
Texas,17.0509895024952,4.953492210657451,5.464431583333335,4.75409266935498,4.64195237928404,8.799999999999999,31.615845932933524,10.6423018930887
Utah,8.092190290358502,5.184311348412972,5.677128708333333,5.46237047332786,4.41343486357772,10.3,7.471074380165289,6.555912482980204
Vermont,8.139553405437212,5.420397618249939,5.708450458333333,5.66274504290522,4.88999735351126,24.3,9.848982271831913,9.845094086597047
Virginia,10.887641689923598,5.703005725405826,5.6284073125,5.80371196542574,5.67689789829174,8.4,11.584059420082845,26.249701627042633
Washington,9.252732932281404,5.673268754773701,6.018143050000001,5.32445941458109,5.67720379974001,27.500000000000004,36.67027138369638,7.165693377342868
West Virginia,13.8465253841742,3.94251972879996,3.745770799999999,4.28366414304092,3.79812424335896,9.9,23.542234332425068,8.101576769548808
Wisconsin,7.784150650682903,5.241629715368808,5.597762033333336,5.30458365695049,4.8225434558226,10.5,7.297341918441473,9.481207730196534
Wyoming,6.752826892630608,5.104514589633122,5.476161041666666,5.186116718324,4.6512660089087,14.2,36.46616541353384,4.470617553713016
